// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Jungle City -> YELLOW (EPIC: 12000, Rebirths: 159, Accurate, XP: 8000)
Jungle City -> YELLOW (EPIC: 24000, Rebirths: 319, Accurate, XP: 12000)
Jungle City -> YELLOW (EPIC: 60000, Rebirths: 799, Accurate, XP: 20000)
Jungle City -> YELLOW (EPIC: 84000, Rebirths: 1119, Accurate, XP: 24000)
Jungle City -> YELLOW (EPIC: 144000, Rebirths: 1919, Accurate, XP: 32000)
Jungle City -> YELLOW (EPIC: 180000, Rebirths: 2399, Accurate, XP: 36000)
Jungle City -> YELLOW (EPIC: 264000, Rebirths: 3519, Accurate, XP: 44000)
Jungle City -> YELLOW (EPIC: 312000, Rebirths: 4159, Accurate, XP: 48000)
Jungle City -> YELLOW (EPIC: 420000, Rebirths: 5599, Accurate, XP: 56000)
Jungle City -> YELLOW (EPIC: 480000, Rebirths: 6399, Accurate, XP: 60000)
Jungle City -> YELLOW (EPIC: 612000, Rebirths: 8159, Accurate, XP: 68000)
Jungle City -> YELLOW (EPIC: 684000, Rebirths: 9119, Accurate, XP: 72000)
Jungle City -> YELLOW (EPIC: 840000, Rebirths: 11199, Accurate, XP: 80000)
Jungle City -> YELLOW (EPIC: 924000, Rebirths: 12319, Accurate, XP: 84000)
Jungle City -> YELLOW (EPIC: 1104000, Rebirths: 14719, Accurate, XP: 92000)
Jungle City -> YELLOW (EPIC: 1200000, Rebirths: 15999, Accurate, XP: 96000)
Jungle City -> YELLOW (EPIC: 1404000, Rebirths: 18719, Accurate, XP: 104000)
Jungle City -> YELLOW (EPIC: 1512000, Rebirths: 20159, Accurate, XP: 108000)
Jungle City -> YELLOW (EPIC: 1740000, Rebirths: 23199, Accurate, XP: 116000)
Jungle City -> YELLOW (EPIC: 1860000, Rebirths: 24799, Accurate, XP: 120000)
Jungle City -> YELLOW (EPIC: 2112000, Rebirths: 28159, Accurate, XP: 128000)
Jungle City -> YELLOW (EPIC: 2244000, Rebirths: 29919, Accurate, XP: 132000)
Jungle City -> YELLOW (EPIC: 2520000, Rebirths: 33599, Accurate, XP: 140000)
Jungle City -> YELLOW (EPIC: 2664000, Rebirths: 35519, Accurate, XP: 144000)
Jungle City -> YELLOW (EPIC: 2964000, Rebirths: 39519, Accurate, XP: 152000)
Jungle City -> YELLOW (EPIC: 3120000, Rebirths: 41599, Accurate, XP: 156000)
Jungle City -> YELLOW (EPIC: 3444000, Rebirths: 45919, Accurate, XP: 164000)
Jungle City -> YELLOW (EPIC: 3612000, Rebirths: 48159, Accurate, XP: 168000)
Jungle City -> YELLOW (EPIC: 3960000, Rebirths: 52799, Accurate, XP: 176000)
Jungle City -> YELLOW (EPIC: 4140000, Rebirths: 55199, Accurate, XP: 180000)
Jungle City -> YELLOW (EPIC: 4512000, Rebirths: 60159, Accurate, XP: 188000)
Jungle City -> YELLOW (EPIC: 4704000, Rebirths: 62719, Accurate, XP: 192000)
Jungle City -> YELLOW (RARE: 3000, Rebirths: 39, Accurate, XP: 3000)
Jungle City -> YELLOW (RARE: 9000, Rebirths: 119, Accurate, XP: 6000)
Jungle City -> YELLOW (RARE: 18000, Rebirths: 239, Accurate, XP: 9000)
Jungle City -> YELLOW (RARE: 30000, Rebirths: 399, Accurate, XP: 12000)
Jungle City -> YELLOW (RARE: 45000, Rebirths: 599, Accurate, XP: 15000)
Jungle City -> YELLOW (RARE: 63000, Rebirths: 839, Accurate, XP: 18000)
Jungle City -> YELLOW (RARE: 84000, Rebirths: 1119, Accurate, XP: 21000)
Jungle City -> YELLOW (RARE: 108000, Rebirths: 1439, Accurate, XP: 24000)
Jungle City -> YELLOW (RARE: 135000, Rebirths: 1799, Accurate, XP: 27000)
Jungle City -> YELLOW (RARE: 165000, Rebirths: 2199, Accurate, XP: 30000)
Jungle City -> YELLOW (RARE: 198000, Rebirths: 2639, Accurate, XP: 33000)
Jungle City -> YELLOW (RARE: 234000, Rebirths: 3119, Accurate, XP: 36000)
Jungle City -> YELLOW (RARE: 273000, Rebirths: 3639, Accurate, XP: 39000)
Jungle City -> YELLOW (RARE: 315000, Rebirths: 4199, Accurate, XP: 42000)
Jungle City -> YELLOW (RARE: 360000, Rebirths: 4799, Accurate, XP: 45000)
Jungle City -> YELLOW (RARE: 408000, Rebirths: 5439, Accurate, XP: 48000)
Jungle City -> YELLOW (RARE: 459000, Rebirths: 6119, Accurate, XP: 51000)
Jungle City -> YELLOW (RARE: 513000, Rebirths: 6839, Accurate, XP: 54000)
Jungle City -> YELLOW (RARE: 570000, Rebirths: 7599, Accurate, XP: 57000)
Jungle City -> YELLOW (RARE: 630000, Rebirths: 8399, Accurate, XP: 60000)
Jungle City -> YELLOW (RARE: 693000, Rebirths: 9239, Accurate, XP: 63000)
Jungle City -> YELLOW (RARE: 759000, Rebirths: 10119, Accurate, XP: 66000)
Jungle City -> YELLOW (RARE: 828000, Rebirths: 11039, Accurate, XP: 69000)
Jungle City -> YELLOW (RARE: 900000, Rebirths: 11999, Accurate, XP: 72000)
Jungle City -> YELLOW (RARE: 975000, Rebirths: 12999, Accurate, XP: 75000)
Jungle City -> YELLOW (RARE: 1053000, Rebirths: 14039, Accurate, XP: 78000)
Jungle City -> YELLOW (RARE: 1134000, Rebirths: 15119, Accurate, XP: 81000)
Jungle City -> YELLOW (RARE: 1218000, Rebirths: 16239, Accurate, XP: 84000)
Jungle City -> YELLOW (RARE: 1305000, Rebirths: 17399, Accurate, XP: 87000)
Jungle City -> YELLOW (RARE: 1395000, Rebirths: 18599, Accurate, XP: 90000)
Jungle City -> YELLOW (RARE: 1488000, Rebirths: 19839, Accurate, XP: 93000)
Jungle City -> YELLOW (RARE: 1584000, Rebirths: 21119, Accurate, XP: 96000)
Jungle City -> YELLOW (RARE: 1683000, Rebirths: 22439, Accurate, XP: 99000)
Jungle City -> YELLOW (RARE: 1785000, Rebirths: 23799, Accurate, XP: 102000)
Jungle City -> YELLOW (RARE: 1890000, Rebirths: 25199, Accurate, XP: 105000)
Jungle City -> YELLOW (RARE: 1998000, Rebirths: 26639, Accurate, XP: 108000)
Jungle City -> YELLOW (RARE: 2109000, Rebirths: 28119, Accurate, XP: 111000)
Jungle City -> YELLOW (RARE: 2223000, Rebirths: 29639, Accurate, XP: 114000)
Jungle City -> YELLOW (RARE: 2340000, Rebirths: 31199, Accurate, XP: 117000)
Jungle City -> YELLOW (RARE: 2460000, Rebirths: 32799, Accurate, XP: 120000)
Jungle City -> YELLOW (RARE: 2583000, Rebirths: 34439, Accurate, XP: 123000)
Jungle City -> YELLOW (RARE: 2709000, Rebirths: 36119, Accurate, XP: 126000)
Jungle City -> YELLOW (RARE: 2838000, Rebirths: 37839, Accurate, XP: 129000)
Jungle City -> YELLOW (RARE: 2970000, Rebirths: 39599, Accurate, XP: 132000)
Jungle City -> YELLOW (RARE: 3105000, Rebirths: 41399, Accurate, XP: 135000)
Jungle City -> YELLOW (RARE: 3243000, Rebirths: 43239, Accurate, XP: 138000)
Jungle City -> YELLOW (RARE: 3384000, Rebirths: 45119, Accurate, XP: 141000)
Jungle City -> YELLOW (RARE: 3528000, Rebirths: 47039, Accurate, XP: 144000)
Jungle City -> YELLOW (RARE: 3675000, Rebirths: 48999, Accurate, XP: 147000)
Jungle City -> YELLOW (ADVANCED: 6000, Rebirths: 79, Accurate, XP: 4000)
Jungle City -> YELLOW (ADVANCED: 12000, Rebirths: 159, Accurate, XP: 6000)
Jungle City -> YELLOW (ADVANCED: 30000, Rebirths: 399, Accurate, XP: 10000)
Jungle City -> YELLOW (ADVANCED: 42000, Rebirths: 559, Accurate, XP: 12000)
Jungle City -> YELLOW (ADVANCED: 72000, Rebirths: 959, Accurate, XP: 16000)
Jungle City -> YELLOW (ADVANCED: 90000, Rebirths: 1199, Accurate, XP: 18000)
Jungle City -> YELLOW (ADVANCED: 132000, Rebirths: 1759, Accurate, XP: 22000)
Jungle City -> YELLOW (ADVANCED: 156000, Rebirths: 2079, Accurate, XP: 24000)
Jungle City -> YELLOW (ADVANCED: 210000, Rebirths: 2799, Accurate, XP: 28000)
Jungle City -> YELLOW (ADVANCED: 240000, Rebirths: 3199, Accurate, XP: 30000)
Jungle City -> YELLOW (ADVANCED: 306000, Rebirths: 4079, Accurate, XP: 34000)
Jungle City -> YELLOW (ADVANCED: 342000, Rebirths: 4559, Accurate, XP: 36000)
Jungle City -> YELLOW (ADVANCED: 420000, Rebirths: 5599, Accurate, XP: 40000)
Jungle City -> YELLOW (ADVANCED: 462000, Rebirths: 6159, Accurate, XP: 42000)
Jungle City -> YELLOW (ADVANCED: 552000, Rebirths: 7359, Accurate, XP: 46000)
Jungle City -> YELLOW (ADVANCED: 600000, Rebirths: 7999, Accurate, XP: 48000)
Jungle City -> YELLOW (ADVANCED: 702000, Rebirths: 9359, Accurate, XP: 52000)
Jungle City -> YELLOW (ADVANCED: 756000, Rebirths: 10079, Accurate, XP: 54000)
Jungle City -> YELLOW (ADVANCED: 870000, Rebirths: 11599, Accurate, XP: 58000)
Jungle City -> YELLOW (ADVANCED: 930000, Rebirths: 12399, Accurate, XP: 60000)
Jungle City -> YELLOW (ADVANCED: 1056000, Rebirths: 14079, Accurate, XP: 64000)
Jungle City -> YELLOW (ADVANCED: 1122000, Rebirths: 14959, Accurate, XP: 66000)
