// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Magma City -> RED (BASIC: 3000, Rebirths: 25, Accurate, XP: 2000)
Magma City -> RED (BASIC: 6000, Rebirths: 49, Accurate, XP: 3000)
Magma City -> BLUE (BASIC: 15000, Rebirths: 499, Accurate, XP: 5000)
Magma City -> RED (BASIC: 21000, Rebirths: 175, Accurate, XP: 6000)
Magma City -> RED (BASIC: 36000, Rebirths: 299, Accurate, XP: 8000)
Magma City -> RED (BASIC: 45000, Rebirths: 375, Accurate, XP: 9000)
Magma City -> ORANGE (BASIC: 66000, Rebirths: 1099, Accurate, XP: 11000)
Magma City -> RED (BASIC: 78000, Rebirths: 649, Accurate, XP: 12000)
Magma City -> RED (BASIC: 105000, Rebirths: 875, Accurate, XP: 14000)
Magma City -> ORANGE (BASIC: 120000, Rebirths: 1999, Accurate, XP: 15000)
Magma City -> BLUE (BASIC: 153000, Rebirths: 5099, Accurate, XP: 17000)
Magma City -> BLUE (BASIC: 171000, Rebirths: 5699, Accurate, XP: 18000)
Magma City -> RED (BASIC: 210000, Rebirths: 1749, Accurate, XP: 20000)
Magma City -> RED (BASIC: 231000, Rebirths: 1925, Accurate, XP: 21000)
Magma City -> ORANGE (BASIC: 276000, Rebirths: 4599, Accurate, XP: 23000)
Magma City -> ORANGE (BASIC: 300000, Rebirths: 4999, Accurate, XP: 24000)
Magma City -> RED (BASIC: 351000, Rebirths: 2925, Accurate, XP: 26000)
Magma City -> RED (BASIC: 378000, Rebirths: 3149, Accurate, XP: 27000)
Magma City -> BLUE (BASIC: 435000, Rebirths: 14499, Accurate, XP: 29000)
Magma City -> RED (BASIC: 465000, Rebirths: 3875, Accurate, XP: 30000)
Magma City -> RED (BASIC: 528000, Rebirths: 4399, Accurate, XP: 32000)
Magma City -> ORANGE (BASIC: 561000, Rebirths: 9349, Accurate, XP: 33000)
Magma City -> RED (BASIC: 630000, Rebirths: 5249, Accurate, XP: 35000)
Magma City -> YELLOW (BASIC: 666000, Rebirths: 7399, Accurate, XP: 36000)
Magma City -> ORANGE (BASIC: 741000, Rebirths: 12349, Accurate, XP: 38000)
Magma City -> RED (BASIC: 780000, Rebirths: 6499, Accurate, XP: 39000)
Magma City -> ORANGE (BASIC: 861000, Rebirths: 14349, Accurate, XP: 41000)
Magma City -> RED (BASIC: 903000, Rebirths: 7525, Accurate, XP: 42000)
Magma City -> ORANGE (BASIC: 990000, Rebirths: 16499, Accurate, XP: 44000)
Magma City -> RED (BASIC: 1035000, Rebirths: 8625, Accurate, XP: 45000)
Magma City -> RED (BASIC: 1128000, Rebirths: 9399, Accurate, XP: 47000)
Magma City -> RED (BASIC: 1176000, Rebirths: 9799, Accurate, XP: 48000)
Magma City -> BLUE (OMEGA: 30000, Rebirths: 999, Accurate, XP: 20000)
Magma City -> RED (OMEGA: 60000, Rebirths: 499, Accurate, XP: 30000)
Magma City -> ORANGE (OMEGA: 150000, Rebirths: 2499, Accurate, XP: 50000)
Magma City -> RED (OMEGA: 210000, Rebirths: 1749, Accurate, XP: 60000)
Magma City -> RED (OMEGA: 360000, Rebirths: 2999, Accurate, XP: 80000)
Magma City -> RED (OMEGA: 450000, Rebirths: 3749, Accurate, XP: 90000)
Magma City -> RED (OMEGA: 660000, Rebirths: 5499, Accurate, XP: 110000)
Magma City -> ORANGE (OMEGA: 780000, Rebirths: 12999, Accurate, XP: 120000)
Magma City -> ORANGE (OMEGA: 1050000, Rebirths: 17499, Accurate, XP: 140000)
Magma City -> RED (OMEGA: 1200000, Rebirths: 9999, Accurate, XP: 150000)
Magma City -> RED (OMEGA: 1530000, Rebirths: 12749, Accurate, XP: 170000)
Magma City -> RED (OMEGA: 1710000, Rebirths: 14249, Accurate, XP: 180000)
Magma City -> ORANGE (OMEGA: 2100000, Rebirths: 34999, Accurate, XP: 200000)
Magma City -> RED (OMEGA: 2310000, Rebirths: 19249, Accurate, XP: 210000)
Magma City -> BLUE (OMEGA: 2760000, Rebirths: 91999, Accurate, XP: 230000)
Magma City -> ORANGE (OMEGA: 3000000, Rebirths: 49999, Accurate, XP: 240000)
