// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Main City -> YELLOW (ADVANCED: 6000, Rebirths: 199, Accurate, XP: 4000)
Main City -> YELLOW (ADVANCED: 12000, Rebirths: 399, Accurate, XP: 6000)
Main City -> YELLOW (ADVANCED: 30000, Rebirths: 999, Accurate, XP: 10000)
Main City -> YELLOW (ADVANCED: 42000, Rebirths: 1399, Accurate, XP: 12000)
Main City -> RED (ADVANCED: 72000, Rebirths: 1599, Accurate, XP: 16000)
Main City -> RED (ADVANCED: 90000, Rebirths: 1999, Accurate, XP: 18000)
Main City -> YELLOW (ADVANCED: 132000, Rebirths: 4399, Accurate, XP: 22000)
Main City -> YELLOW (ADVANCED: 156000, Rebirths: 5199, Accurate, XP: 24000)
Main City -> YELLOW (ADVANCED: 210000, Rebirths: 6999, Accurate, XP: 28000)
Main City -> YELLOW (ADVANCED: 240000, Rebirths: 7999, Accurate, XP: 30000)
Main City -> RED (ADVANCED: 306000, Rebirths: 6799, Accurate, XP: 34000)
Main City -> RED (ADVANCED: 342000, Rebirths: 7599, Accurate, XP: 36000)
Main City -> YELLOW (ADVANCED: 420000, Rebirths: 13999, Accurate, XP: 40000)
Main City -> YELLOW (ADVANCED: 462000, Rebirths: 15399, Accurate, XP: 42000)
Main City -> YELLOW (ADVANCED: 552000, Rebirths: 18399, Accurate, XP: 46000)
Main City -> YELLOW (ADVANCED: 600000, Rebirths: 19999, Accurate, XP: 48000)
Main City -> RED (ADVANCED: 702000, Rebirths: 15599, Accurate, XP: 52000)
Main City -> RED (ADVANCED: 756000, Rebirths: 16799, Accurate, XP: 54000)
Main City -> YELLOW (ADVANCED: 870000, Rebirths: 28999, Accurate, XP: 58000)
Main City -> YELLOW (ADVANCED: 930000, Rebirths: 30999, Accurate, XP: 60000)
Main City -> ORANGE (ADVANCED: 1056000, Rebirths: 70399, Accurate, XP: 64000)
Main City -> YELLOW (ADVANCED: 1122000, Rebirths: 37399, Accurate, XP: 66000)
Main City -> RED (ADVANCED: 1260000, Rebirths: 27999, Accurate, XP: 70000)
Main City -> RED (ADVANCED: 1332000, Rebirths: 29599, Accurate, XP: 72000)
Main City -> YELLOW (ADVANCED: 1482000, Rebirths: 49399, Accurate, XP: 76000)
Main City -> ORANGE (ADVANCED: 1560000, Rebirths: 103999, Accurate, XP: 78000)
Main City -> YELLOW (ADVANCED: 1722000, Rebirths: 57399, Accurate, XP: 82000)
Main City -> YELLOW (ADVANCED: 1806000, Rebirths: 60199, Accurate, XP: 84000)
Main City -> RED (ADVANCED: 1980000, Rebirths: 43999, Accurate, XP: 88000)
Main City -> RED (ADVANCED: 2070000, Rebirths: 45999, Accurate, XP: 90000)
Main City -> YELLOW (ADVANCED: 2256000, Rebirths: 75199, Accurate, XP: 94000)
Main City -> YELLOW (ADVANCED: 2352000, Rebirths: 78399, Accurate, XP: 96000)
Main City -> YELLOW (BASIC: 3000, Rebirths: 99, Accurate, XP: 2000)
Main City -> YELLOW (BASIC: 6000, Rebirths: 199, Accurate, XP: 3000)
Main City -> YELLOW (BASIC: 15000, Rebirths: 499, Accurate, XP: 5000)
Main City -> YELLOW (BASIC: 21000, Rebirths: 699, Accurate, XP: 6000)
Main City -> RED (BASIC: 36000, Rebirths: 799, Accurate, XP: 8000)
Main City -> RED (BASIC: 45000, Rebirths: 999, Accurate, XP: 9000)
Main City -> YELLOW (BASIC: 66000, Rebirths: 2199, Accurate, XP: 11000)
Main City -> YELLOW (BASIC: 78000, Rebirths: 2599, Accurate, XP: 12000)
Main City -> YELLOW (BASIC: 105000, Rebirths: 3499, Accurate, XP: 14000)
Main City -> YELLOW (BASIC: 120000, Rebirths: 3999, Accurate, XP: 15000)
Main City -> RED (BASIC: 153000, Rebirths: 3399, Accurate, XP: 17000)
Main City -> ORANGE (BASIC: 171000, Rebirths: 11399, Accurate, XP: 18000)
