// GitHub: https://github.com/0xnyxo
// Glitchable List for Legends Of Speed
// Discord: @0xnyxo (Aka Vyxon)
// ===============================

Snow City -> BLUE (OMEGA: 30000, Rebirths: 1999, Accurate, XP: 20000)
Standard -> YELLOW (OMEGA: 60000, Rebirths: 1999, Accurate, XP: 30000)
Standard -> ORANGE (OMEGA: 150000, Rebirths: 9999, Accurate, XP: 50000)
Magma City -> RED (OMEGA: 210000, Rebirths: 1749, Accurate, XP: 60000)
Standard -> RED (OMEGA: 360000, Rebirths: 7999, Accurate, XP: 80000)
Standard -> RED (OMEGA: 450000, Rebirths: 9999, Accurate, XP: 90000)
Standard -> YELLOW (OMEGA: 660000, Rebirths: 21999, Accurate, XP: 110000)
Standard -> ORANGE (OMEGA: 780000, Rebirths: 51999, Accurate, XP: 120000)
Standard -> YELLOW (OMEGA: 1050000, Rebirths: 34999, Accurate, XP: 140000)
Standard -> YELLOW (OMEGA: 1200000, Rebirths: 39999, Accurate, XP: 150000)
Magma City -> RED (OMEGA: 1530000, Rebirths: 12749, Accurate, XP: 170000)
Standard -> RED (OMEGA: 1710000, Rebirths: 37999, Accurate, XP: 180000)
Standard -> YELLOW (OMEGA: 2100000, Rebirths: 69999, Accurate, XP: 200000)
Standard -> YELLOW (OMEGA: 2310000, Rebirths: 76999, Accurate, XP: 210000)
Magma City -> RED (OMEGA: 2760000, Rebirths: 22999, Accurate, XP: 230000)
Standard -> ORANGE (OMEGA: 3000000, Rebirths: 199999, Accurate, XP: 240000)
Standard -> RED (OMEGA: 3510000, Rebirths: 77999, Accurate, XP: 260000)
Standard -> YELLOW (OMEGA: 3780000, Rebirths: 125999, Accurate, XP: 270000)
Standard -> ORANGE (OMEGA: 4350000, Rebirths: 289999, Accurate, XP: 290000)
Standard -> YELLOW (OMEGA: 4650000, Rebirths: 154999, Accurate, XP: 300000)
Snow City -> RED (OMEGA: 5280000, Rebirths: 70399, Accurate, XP: 320000)
Standard -> YELLOW (OMEGA: 5610000, Rebirths: 186999, Accurate, XP: 330000)
Snow City -> RED (OMEGA: 6300000, Rebirths: 83999, Accurate, XP: 350000)
Standard -> ORANGE (OMEGA: 6660000, Rebirths: 443999, Accurate, XP: 360000)
Magma City -> RED (OMEGA: 7410000, Rebirths: 61749, Accurate, XP: 380000)
Standard -> YELLOW (OMEGA: 7800000, Rebirths: 259999, Accurate, XP: 390000)
Snow City -> YELLOW (OMEGA: 8610000, Rebirths: 143499, Accurate, XP: 410000)
Standard -> YELLOW (OMEGA: 9030000, Rebirths: 300999, Accurate, XP: 420000)
Standard -> YELLOW (OMEGA: 9900000, Rebirths: 329999, Accurate, XP: 440000)
Standard -> RED (OMEGA: 10350000, Rebirths: 229999, Accurate, XP: 450000)
